cpu_usage,ram_usage,runtime_hours,hour,day_of_week,workload_type,future_cpu
24,81,21,6,1,web,26.232330337601102
31,62,2,23,3,batch,39.08412227845221
73,69,21,0,3,machine_learning,73.17777461289586
69,89,15,14,5,machine_learning,65.57765669117323
64,73,3,4,2,batch,59.79901719095993
13,69,14,17,1,machine_learning,28.302170170873655
62,11,20,14,3,database,61.89202220209653
87,90,4,17,3,batch,78.5383125683528
15,63,10,3,5,machine_learning,5.0
23,57,15,7,5,web,14.64882873412132
71,49,21,15,4,web,77.18960333466946
69,50,15,12,0,machine_learning,64.69486670669632
80,18,24,0,3,database,85.09044086676136
42,14,10,6,1,batch,34.74623465136056
37,16,9,7,3,database,33.16660609723768
53,44,1,2,4,analytics,51.51472818668946
10,14,23,13,6,batch,8.79572913392174
72,61,4,4,6,batch,64.27553862484021
24,52,4,12,6,analytics,17.532051176854498
51,54,21,5,3,machine_learning,46.98594365132371
53,39,11,22,3,web,58.792666012207015
36,71,20,12,0,database,33.95388290432846
79,81,9,4,0,batch,76.25828386778585
41,61,17,16,1,batch,34.581781846227045
21,48,2,2,0,web,17.465871814191896
10,28,2,20,3,database,9.32667931855058
41,79,23,3,6,machine_learning,34.79731115234445
79,20,16,15,0,analytics,85.18512684711399
68,79,16,2,3,database,59.22598161138248
76,28,20,6,3,machine_learning,70.54158748863782
42,49,7,17,0,database,51.35366117562098
32,40,10,2,6,machine_learning,38.98653575271541
25,69,17,1,0,web,27.07906235398739
28,57,16,2,3,database,34.25458297421848
33,84,17,7,3,database,34.810306155991
34,27,14,17,1,batch,40.77921146061311
89,70,9,3,0,batch,88.96114444279176
17,16,3,16,0,web,13.933413549872773
68,31,14,5,5,web,75.02938838552717
36,30,1,14,0,batch,34.08324393444952
70,57,19,3,2,analytics,69.90733344174404
15,46,24,16,5,analytics,16.524789640916183
69,72,21,22,0,analytics,61.591627046308176
63,67,3,7,5,database,58.89627745891502
41,56,22,22,1,machine_learning,34.158075848961516
26,42,9,10,5,machine_learning,17.783505928515225
51,35,3,17,0,analytics,45.13639091965021
45,54,20,0,5,database,46.56277178037578
24,75,23,21,2,web,42.51726853338807
31,67,22,16,3,analytics,16.061878459266016
79,24,22,10,3,machine_learning,86.73113601577934
14,77,6,12,3,web,9.912444261704302
64,49,20,15,4,batch,63.14244419871099
67,64,5,20,5,batch,63.11026171397501
21,10,1,14,1,database,18.445159377481776
10,25,7,4,5,database,8.363067956179291
76,85,16,18,4,analytics,73.28490965457442
78,56,17,13,5,web,71.47783250782462
